text,label
Let's schedule your medical appointment for next Monday.,0
"This is the police. Your bank account has been compromised, transfer $1705 to 0732102886.",1
"Your grandson is in jail and needs $5000 for bail immediately. Don't tell anyone about this.",1
"You've won a $10,000 prize! To claim it, send us $500 for processing fees.",1
"This is Microsoft support. Your computer has a virus. We need remote access to fix it.",1
"We're from the IRS. You owe back taxes and will be arrested unless you pay immediately.",1
"Your Social Security number has been suspended. Press 1 to speak with an agent.",1
"This is your bank's fraud department. We need to verify your account details.",1
"Your Netflix subscription was declined. Click here to update payment information.",1
"Congratulations! You've been selected for a free cruise. Just pay $100 booking fee.",1
"Your Amazon account shows unauthorized purchases. Verify your identity now.",1
"This is tech support. Your internet will be disconnected unless you pay now.",1
"We found suspicious activity on your credit card. Provide details to verify.",1
Let's schedule your medical appointment for next Monday.,0
Your parcel is out for delivery and will arrive today.,0
"This is the police. Your bank account has been compromised, transfer $1309 to 9933741117.",1
Are we still on for the meeting tomorrow?,0
Reminder: Your electricity bill is due next week.,0
This is the bank. We need your OTP 400396 to resolve an urgent problem.,1
This is the bank. We need your OTP 675551 to resolve an urgent problem.,1
Let's schedule your medical appointment for next Monday.,0
Are we still on for the meeting tomorrow?,0
Your parcel is out for delivery and will arrive today.,0
Reminder: Your electricity bill is due next week.,0
"Thanks for calling back mom, how are you doing today?",0
"Just wanted to remind you about dad's birthday party this weekend.",0
"Hi grandma, I made that chicken recipe you shared - it was delicious!",0
"The doctor's office called to confirm your appointment for Thursday at 2pm.",0
"Your prescription is ready for pickup at the pharmacy.",0
"The gardener will come by on Wednesday to trim the hedges.",0
"We're having a family dinner on Sunday, can you make it?",0
"Your neighbor Sarah called about borrowing your cookie recipe.",0
"The book club meeting is at 3pm today at the library.",0
"Don't forget to take your medicine after breakfast.",0
"The church group is meeting at 10am on Sunday.",0
"Your friend Martha says hello and hopes you're feeling better.",0
"The community center is having a seniors' social next week.",0
"Your granddaughter's piano recital is this Saturday at 4pm.",0
"The handyman will fix the leaky faucet tomorrow morning.",0
"Your hair appointment is confirmed for Friday at 11am.",0
Reminder: Your electricity bill is due next week.,0
Let's schedule your medical appointment for next Monday.,0
Your parcel is out for delivery and will arrive today.,0
This is the bank. We need your OTP 404052 to resolve an urgent problem.,1
Are we still on for the meeting tomorrow?,0
"This is the police. Your bank account has been compromised, transfer $3564 to 9522440672.",1
Are we still on for the meeting tomorrow?,0
Let's schedule your medical appointment for next Monday.,0
"This is the police. Your bank account has been compromised, transfer $3173 to 3821088455.",1
Are we still on for the meeting tomorrow?,0
Congratulations! You won a government grant. Provide your bank details to receive $3445.,1
Are we still on for the meeting tomorrow?,0
Your card has been charged fraudulently. Call us at +84235581182 immediately and confirm your CVV.,1
Are we still on for the meeting tomorrow?,0
Are we still on for the meeting tomorrow?,0
